institution_id,canonical_name,suggested_action,decision_ror,decision_type,decision_note,ror_matched_name,ror_country,ror_score,org_type,n_projects,review_reason,ror_id,match_method,sources,name_variants
local:telescope-innovations-corp,TELESCOPE INNOVATIONS CORP,reject the ROR match,reject,,"wrong organisation, foreign record",Ag Innovations,US,0.86,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,TELESCOPE INNOVATIONS CORP
local:scottish-shellfish-marketing-group,SCOTTISH SHELLFISH MARKETING GROUP,reject the ROR match,reject,,"wrong organisation, foreign record",Korea Petroleum Group (South Korea),KR,0.86,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,SCOTTISH SHELLFISH MARKETING GROUP
local:linden-foods,LINDEN FOODS,reject the ROR match,reject,,"wrong organisation, foreign record",S Foods Inc. (Japan),JP,0.92,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,LINDEN FOODS
local:rochdale-borough-council,ROCHDALE BOROUGH COUNCIL,reject the ROR match,reject,,"wrong organisation, foreign record",Council of Southeast Pennsylvania,US,1.0,government,1.0,"ROR matched a non-UK organisation to a UKRI-funded body, almost certainly wrong, confirm or reject",,ror_review_non_uk,gtr,ROCHDALE BOROUGH COUNCIL
local:gordian-development-services,GORDIAN DEVELOPMENT SERVICES,reject the ROR match,reject,,"wrong organisation, foreign record",Center for Development Services,EG,0.9,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,GORDIAN DEVELOPMENT SERVICES
local:grameen-shakti,GRAMEEN SHAKTI,reject the ROR match,reject,,"wrong organisation, foreign record",Grameen Research,US,0.74,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,GRAMEEN SHAKTI
local:climate-emerge-innovation-development-solutions-hub,CLIMATE EMERGE & INNOVATION DEVELOPMENT SOLUTIONS HUB,reject the ROR match,reject,,"wrong organisation, foreign record",eDNA solutions AB (Sweden),SE,0.86,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,CLIMATE EMERGE & INNOVATION DEVELOPMENT SOLUTIONS HUB
local:cling-systems-ab,CLING SYSTEMS AB,reject the ROR match,reject,,"wrong organisation, foreign record",FRAUDetect (United States),US,0.83,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,CLING SYSTEMS AB
local:plasticseurope,PLASTICSEUROPE,reject the ROR match,accept,nonprofit,PlasticsEurope is Belgium-based; match correct,PlasticsEurope,BE,1.0,unknown,1.0,"ROR matched a non-UK organisation to a UKRI-funded body, almost certainly wrong, confirm or reject",,ror_review_non_uk,gtr,PLASTICSEUROPE
local:paper-industry-technical-association,PAPER INDUSTRY TECHNICAL ASSOCIATION,reject the ROR match,reject,,"wrong organisation, foreign record",STM Association,NL,0.89,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,PAPER INDUSTRY TECHNICAL ASSOCIATION
local:national-inst-agricultural-botany,NATIONAL INST OF AGRICULTURAL BOTANY,reject the ROR match,reject,,"wrong organisation, foreign record",Andijan Institute of Agricultural,UZ,0.88,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,NATIONAL INST OF AGRICULTURAL BOTANY
local:hubbub-foundation-enterprise,HUBBUB FOUNDATION ENTERPRISE LIMITED,reject the ROR match,reject,,"wrong organisation, foreign record",Chubb (Switzerland),CH,0.9,company,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,HUBBUB FOUNDATION ENTERPRISE LIMITED
local:association-for-renewable-energy-clean-technology,THE ASSOCIATION FOR RENEWABLE ENERGY AND CLEAN TECHNOLOGY,reject the ROR match,reject,,"wrong organisation, foreign record",European Association for Renewable Energy,DE,0.88,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,THE ASSOCIATION FOR RENEWABLE ENERGY AND CLEAN TECHNOLOGY
local:renishaw-p-l-c,RENISHAW P L C,reject the ROR match,reject,,UK plc vs its Russian subsidiary record,Renishaw (Russia),RU,0.78,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,RENISHAW P L C
ror:01aetpp13,Centre for Process Innovation,,,nonprofit,"UK research and technology organisation: company limited by guarantee, no share capital, provides research and innovation services rather than trading for shareholder return. Typed nonprofit rather than company so the intermediary layer is not folded into industry. Verified at Companies House (05002194): private company limited by guarantee without share capital. Rule applied to all seven RTO candidates; six met it, UK Battery Industrialisation Centre did not and is typed company.",,,,,,,,,,
